,24-65,M 24-65,W 24-65
logwage,2.8627297595043006,3.0172708647848525,2.6107047102504883
lths,0.191388958279038,0.20485569524407315,0.16942745463416128
college,0.23236674667001886,0.25451236089406887,0.19625176285751375
educ,12.825339682161754,12.871242433420147,12.750481649240461
exp,20.98790155327638,20.958567549233873,21.035739335982864
exp2,593.9110282851755,593.0022348422366,595.3930851903835
sample_size,120587.0,69095.0,51492.0
