,24-65,M 24-65,W 24-65
logwage,3.139955582768912,3.21431556947426,3.0518553845368515
lths,0.0525169215136766,0.06468059307611103,0.03810565110657672
college,0.42999266469597963,0.3959921234359499,0.4702758137082722
educ,14.233172781814513,13.994592612082826,14.515837709269189
exp,22.406393705137607,22.512204781329945,22.281030896445305
exp2,646.7003828741477,649.5147046586301,643.3660317252766
sample_size,123908.0,62793.0,61115.0
