"cty","Name","Household_Income_at_Age_35_rP_gM_p25"
"cty48123","DeWitt County, TX",37328
"cty18147","Spencer County, IN",37314
"cty55013","Burnett County, WI",37312
"cty50019","Orleans County, VT",37304
"cty55135","Waupaca County, WI",37274
"cty19103","Johnson County, IA",37273
"cty20185","Stafford County, KS",37272
"cty55073","Marathon County, WI",37261
"cty26061","Houghton County, MI",37248
"cty48115","Dawson County, TX",37243
"cty17175","Stark County, IL",37242
"cty48323","Maverick County, TX",37233
"cty26131","Ontonagon County, MI",37231
"cty49019","Grand County, UT",37231
"cty20151","Pratt County, KS",37210
"cty22113","Vermilion Parish, LA",37206
"cty18179","Wells County, IN",37202
"cty54021","Gilmer County, WV",37196
"cty48169","Garza County, TX",37195
"cty48409","San Patricio County, TX",37193
"cty31001","Adams County, NE",37192
"cty48125","Dickens County, TX",37187
"cty48199","Hardin County, TX",37180
"cty49053","Washington County, UT",37172
"cty20033","Comanche County, KS",37127
"cty16087","Washington County, ID",37122
"cty17035","Cumberland County, IL",37103
"cty55055","Jefferson County, WI",37080
"cty42005","Armstrong County, PA",37066
"cty42019","Butler County, PA",37061
"cty40103","Noble County, OK",37051
"cty29157","Perry County, MO",37050
"cty48273","Kleberg County, TX",37048
"cty20009","Barton County, KS",37028
"cty55133","Waukesha County, WI",37015
"cty55085","Oneida County, WI",37008
"cty48013","Atascosa County, TX",36997
"cty17073","Henry County, IL",36994
"cty42129","Westmoreland County, PA",36991
"cty19007","Appanoose County, IA",36990
"cty55037","Florence County, WI",36986
"cty19001","Adair County, IA",36984
"cty24013","Carroll County, MD",36976
"cty21215","Spencer County, KY",36975
"cty16017","Bonner County, ID",36974
"cty19175","Union County, IA",36970
"cty48321","Matagorda County, TX",36966
"cty42067","Juniata County, PA",36940
"cty40029","Coal County, OK",36936
"cty55129","Washburn County, WI",36932
"cty40077","Latimer County, OK",36913
"cty19181","Warren County, IA",36913
"cty55071","Manitowoc County, WI",36911
"cty19101","Jefferson County, IA",36910
"cty40139","Texas County, OK",36905
"cty27141","Sherburne County, MN",36896
"cty22059","LaSalle Parish, LA",36857
"cty08071","Las Animas County, CO",36842
"cty20053","Ellsworth County, KS",36841
"cty42091","Montgomery County, PA",36838
"cty42017","Bucks County, PA",36805
"cty08047","Gilpin County, CO",36796
"cty39055","Geauga County, OH",36787
"cty05025","Cleveland County, AR",36785
"cty48289","Leon County, TX",36773
"cty29121","Macon County, MO",36768
"cty18181","White County, IN",36765
"cty17155","Putnam County, IL",36760
"cty53051","Pend Oreille County, WA",36734
"cty21201","Robertson County, KY",36731
"cty42125","Washington County, PA",36728
"cty55033","Dunn County, WI",36727
"cty08073","Lincoln County, CO",36723
"cty08069","Larimer County, CO",36717
"cty48039","Brazoria County, TX",36715
"cty36081","Queens County, NY",36694
"cty24031","Montgomery County, MD",36691
"cty29025","Caldwell County, MO",36690
"cty19125","Marion County, IA",36684
"cty55039","Fond du Lac County, WI",36664
"cty08045","Garfield County, CO",36647
"cty40017","Canadian County, OK",36623
"cty50023","Washington County, VT",36612
"cty48079","Cochran County, TX",36608
"cty19045","Clinton County, IA",36597
"cty17111","McHenry County, IL",36588
"cty51735","Poquoson city, VA",36574
"cty08087","Morgan County, CO",36573
"cty29139","Montgomery County, MO",36564
"cty21027","Breckinridge County, KY",36558
"cty16033","Clark County, ID",36551
"cty26037","Clinton County, MI",36546
"cty19033","Cerro Gordo County, IA",36546
"cty53031","Jefferson County, WA",36514
"cty39013","Belmont County, OH",36512
"cty30089","Sanders County, MT",36503
"cty53001","Adams County, WA",36501
"cty54077","Preston County, WV",36500
"cty31153","Sarpy County, NE",36497
"cty40061","Haskell County, OK",36490
"cty36095","Schoharie County, NY",36486
"cty54103","Wetzel County, WV",36482
"cty44001","Bristol County, RI",36477
"cty06081","San Mateo County, CA",36460
"cty06085","Santa Clara County, CA",36454
"cty42001","Adams County, PA",36454
"cty08109","Saguache County, CO",36427
"cty48507","Zavala County, TX",36426
"cty48143","Erath County, TX",36423
"cty72097","Mayaguez Municipio, PR",36421
"cty20093","Kearny County, KS",36417
"cty50005","Caledonia County, VT",36391
"cty36087","Rockland County, NY",36387
"cty48247","Jim Hogg County, TX",36384
"cty08093","Park County, CO",36377
"cty20091","Johnson County, KS",36356
"cty31079","Hall County, NE",36353
"cty19099","Jasper County, IA",36339
"cty47137","Pickett County, TN",36322
"cty27071","Koochiching County, MN",36320
"cty40137","Stephens County, OK",36315
"cty16085","Valley County, ID",36315
"cty17011","Bureau County, IL",36314
"cty19183","Washington County, IA",36289
"cty19115","Louisa County, IA",36283
"cty48335","Mitchell County, TX",36278
"cty30111","Yellowstone County, MT",36272
"cty41023","Grant County, OR",36267
"cty17191","Wayne County, IL",36253
"cty16045","Gem County, ID",36241
"cty06043","Mariposa County, CA",36241
"cty19087","Henry County, IA",36237
"cty55077","Marquette County, WI",36224
"cty49021","Iron County, UT",36221
"cty34041","Warren County, NJ",36202
"cty16013","Blaine County, ID",36200
"cty06027","Inyo County, CA",36190
"cty42061","Huntingdon County, PA",36186
"cty55021","Columbia County, WI",36186
"cty22109","Terrebonne Parish, LA",36176
"cty39011","Auglaize County, OH",36176
"cty30093","Silver Bow County, MT",36169
"cty22039","Evangeline Parish, LA",36151
"cty42021","Cambria County, PA",36144
"cty40095","Marshall County, OK",36136
"cty20107","Linn County, KS",36131
"cty48457","Tyler County, TX",36130
"cty17103","Lee County, IL",36129
"cty39175","Wyandot County, OH",36128
"cty48197","Hardeman County, TX",36123
"cty06017","El Dorado County, CA",36122
"cty16015","Boise County, ID",36115
"cty42015","Bradford County, PA",36110
"cty27115","Pine County, MN",36088
"cty40087","McClain County, OK",36086
"cty09013","Tolland County, CT",36077
"cty55083","Oconto County, WI",36074
"cty23021","Piscataquis County, ME",36073
"cty08037","Eagle County, CO",36065
"cty16055","Kootenai County, ID",36054
"cty16073","Owyhee County, ID",36039
"cty20105","Lincoln County, KS",36036
"cty40033","Cotton County, OK",36035
"cty55111","Sauk County, WI",36029
"cty29186","Ste. Genevieve County, MO",36004
"cty49035","Salt Lake County, UT",35990
"cty36123","Yates County, NY",35980
"cty16043","Fremont County, ID",35976
"cty20207","Woodson County, KS",35971
"cty41061","Union County, OR",35960
"cty36121","Wyoming County, NY",35955
"cty22007","Assumption Parish, LA",35950
"cty55117","Sheboygan County, WI",35941
"cty48399","Runnels County, TX",35940
"cty17009","Brown County, IL",35940
"cty20087","Jefferson County, KS",35937
"cty27003","Anoka County, MN",35930
"cty56007","Carbon County, WY",35917
"cty08077","Mesa County, CO",35916
"cty40069","Johnston County, OK",35907
"cty55063","La Crosse County, WI",35907
"cty17093","Kendall County, IL",35894
"cty29049","Clinton County, MO",35884
"cty29227","Worth County, MO",35884
"cty29011","Barton County, MO",35874
"cty42033","Clearfield County, PA",35865
"cty39125","Paulding County, OH",35863
"cty21177","Muhlenberg County, KY",35860
"cty29211","Sullivan County, MO",35858
"cty48259","Kendall County, TX",35854
"cty39037","Darke County, OH",35834
"cty53055","San Juan County, WA",35826
"cty55075","Marinette County, WI",35824
"cty42097","Northumberland County, PA",35818
"cty33015","Rockingham County, NH",35804
"cty54051","Marshall County, WV",35797
"cty20139","Osage County, KS",35797
"cty17157","Randolph County, IL",35787
"cty48229","Hudspeth County, TX",35781
"cty34029","Ocean County, NJ",35778
"cty50003","Bennington County, VT",35769
"cty04011","Greenlee County, AZ",35769
"cty51027","Buchanan County, VA",35766
"cty17135","Montgomery County, IL",35758
"cty19187","Webster County, IA",35755
"cty26089","Leelanau County, MI",35753
"cty19133","Monona County, IA",35751
"cty22001","Acadia Parish, LA",35730
"cty36025","Delaware County, NY",35720
"cty34035","Somerset County, NJ",35713
"cty48341","Moore County, TX",35697
"cty24023","Garrett County, MD",35689
"cty29115","Linn County, MO",35686
"cty48071","Chambers County, TX",35678
"cty36103","Suffolk County, NY",35669
"cty28041","Greene County, MS",35669
"cty17069","Hardin County, IL",35669
"cty42027","Centre County, PA",35666
"cty54093","Tucker County, WV",35663
"cty46099","Minnehaha County, SD",35656
"cty54041","Lewis County, WV",35642
"cty20101","Lane County, KS",35642
"cty40067","Jefferson County, OK",35637
"cty55009","Brown County, WI",35634
"cty17075","Iroquois County, IL",35628
"cty27137","St. Louis County, MN",35617
"cty17117","Macoupin County, IL",35615
"cty16047","Gooding County, ID",35604
"cty12043","Glades County, FL",35603
"cty55087","Outagamie County, WI",35601
"cty15003","Honolulu County, HI",35601
"cty29171","Putnam County, MO",35600
"cty42041","Cumberland County, PA",35588
"cty21233","Webster County, KY",35585
"cty46031","Corson County, SD",35572
"cty08097","Pitkin County, CO",35562
"cty20205","Wilson County, KS",35545
"cty50027","Windsor County, VT",35542
"cty48051","Burleson County, TX",35528
"cty40117","Pawnee County, OK",35520
"cty29001","Adair County, MO",35513
"cty27165","Watonwan County, MN",35512
"cty17049","Effingham County, IL",35510
"cty17053","Ford County, IL",35478
"cty48307","McCulloch County, TX",35464
"cty40119","Payne County, OK",35455
"cty30029","Flathead County, MT",35446
"cty20121","Miami County, KS",35440
"cty29107","Lafayette County, MO",35437
"cty20097","Kiowa County, KS",35436
"cty55003","Ashland County, WI",35425
"cty18159","Tipton County, IN",35425
"cty48369","Parmer County, TX",35424
"cty50011","Franklin County, VT",35420
"cty27095","Mille Lacs County, MN",35405
"cty16083","Twin Falls County, ID",35397
"cty56021","Laramie County, WY",35388
"cty27017","Carlton County, MN",35382
"cty26053","Gogebic County, MI",35376
"cty39103","Medina County, OH",35372
"cty16019","Bonneville County, ID",35371
"cty26151","Sanilac County, MI",35361
"cty39051","Fulton County, OH",35361
"cty55035","Eau Claire County, WI",35350
"cty40051","Grady County, OK",35346
"cty18051","Gibson County, IN",35336
"cty42071","Lancaster County, PA",35335
"cty48075","Childress County, TX",35330
"cty48353","Nolan County, TX",35330
"cty42069","Lackawanna County, PA",35325
"cty18111","Newton County, IN",35294
"cty02150","Kodiak Island Borough, AK",35291
"cty17109","McDonough County, IL",35286
"cty51127","New Kent County, VA",35279
"cty49007","Carbon County, UT",35263
"cty42037","Columbia County, PA",35251
"cty42039","Crawford County, PA",35249
"cty48155","Foard County, TX",35248
"cty48163","Frio County, TX",35238
"cty33003","Carroll County, NH",35224
"cty36091","Saratoga County, NY",35218
"cty20019","Chautauqua County, KS",35214
"cty17059","Gallatin County, IL",35208
"cty25009","Essex County, MA",35204
"cty17203","Woodford County, IL",35187
"cty30041","Hill County, MT",35182
"cty27021","Cass County, MN",35175
"cty19039","Clarke County, IA",35170
"cty27007","Beltrami County, MN",35156
"cty17187","Warren County, IL",35153
"cty48325","Medina County, TX",35140
"cty48117","Deaf Smith County, TX",35128
"cty51013","Arlington County, VA",35104
"cty21123","Larue County, KY",35099
"cty08059","Jefferson County, CO",35093
"cty01129","Washington County, AL",35088
"cty25015","Hampshire County, MA",35082
"cty48161","Freestone County, TX",35067
"cty06061","Placer County, CA",35064
"cty48015","Austin County, TX",35062
"cty42025","Carbon County, PA",35054
"cty06009","Calaveras County, CA",35042
"cty48311","McMullen County, TX",35036
"cty39157","Tuscarawas County, OH",35031
"cty56043","Washakie County, WY",35025
"cty51091","Highland County, VA",35018
"cty23007","Franklin County, ME",35004
"cty20079","Harvey County, KS",35003
"cty39173","Wood County, OH",34992
"cty42093","Montour County, PA",34991
"cty48381","Randall County, TX",34988
"cty54007","Braxton County, WV",34981
"cty17023","Clark County, IL",34980
"cty42047","Elk County, PA",34966
"cty35028","Los Alamos County, NM",34959
"cty29183","St. Charles County, MO",34954
"cty42075","Lebanon County, PA",34953
"cty42107","Schuylkill County, PA",34953
"cty55047","Green Lake County, WI",34939
"cty30063","Missoula County, MT",34932
"cty48193","Hamilton County, TX",34931
"cty53047","Okanogan County, WA",34927
"cty18123","Perry County, IN",34922
"cty50001","Addison County, VT",34916
"cty48253","Jones County, TX",34907
"cty50017","Orange County, VT",34902
"cty06059","Orange County, CA",34900
"cty53007","Chelan County, WA",34890
"cty48101","Cottle County, TX",34886
"cty26113","Missaukee County, MI",34881
"cty48159","Franklin County, TX",34878
"cty29081","Harrison County, MO",34877
"cty48215","Hidalgo County, TX",34872
"cty53065","Stevens County, WA",34852
"cty29037","Cass County, MO",34851
"cty17165","Saline County, IL",34842
"cty48331","Milam County, TX",34837
"cty42109","Snyder County, PA",34835
"cty41021","Gilliam County, OR",34830
"cty48171","Gillespie County, TX",34830
"cty22011","Beauregard Parish, LA",34826
"cty34025","Monmouth County, NJ",34824
"cty49045","Tooele County, UT",34824
"cty40131","Rogers County, OK",34822
"cty42057","Fulton County, PA",34812
"cty21155","Marion County, KY",34809
"cty53061","Snohomish County, WA",34801
"cty40105","Nowata County, OK",34800
"cty20111","Lyon County, KS",34792
"cty48397","Rockwall County, TX",34772
"cty29137","Monroe County, MO",34759
"cty18131","Pulaski County, IN",34749
"cty55081","Monroe County, WI",34739
"cty21183","Ohio County, KY",34714
"cty32005","Douglas County, NV",34710
"cty22053","Jefferson Davis Parish, LA",34695
"cty25001","Barnstable County, MA",34667
"cty42051","Fayette County, PA",34665
"cty42111","Somerset County, PA",34648
"cty51683","Manassas city, VA",34645
"cty55007","Bayfield County, WI",34643
"cty42083","McKean County, PA",34638
"cty29199","Scotland County, MO",34636
"cty17033","Crawford County, IL",34625
"cty48291","Liberty County, TX",34623
"cty08085","Montrose County, CO",34618
"cty39069","Henry County, OH",34615
"cty08099","Prowers County, CO",34613
"cty36069","Ontario County, NY",34600
"cty31043","Dakota County, NE",34592
"cty30013","Cascade County, MT",34587
"cty22003","Allen Parish, LA",34587
"cty49057","Weber County, UT",34584
"cty18161","Union County, IN",34580
"cty48493","Wilson County, TX",34580
"cty40099","Murray County, OK",34577
"cty50021","Rutland County, VT",34577
"cty08013","Boulder County, CO",34571
"cty18115","Ohio County, IN",34570
"cty36099","Seneca County, NY",34569
"cty53057","Skagit County, WA",34563
"cty40011","Blaine County, OK",34558
"cty29177","Ray County, MO",34550
"cty39123","Ottawa County, OH",34541
"cty54095","Tyler County, WV",34541
"cty54105","Wirt County, WV",34531
"cty48097","Cooke County, TX",34527
"cty53073","Whatcom County, WA",34518
"cty36037","Genesee County, NY",34510
"cty46065","Hughes County, SD",34509
"cty53033","King County, WA",34490
"cty17063","Grundy County, IL",34469
"cty48007","Aransas County, TX",34463
"cty41027","Hood River County, OR",34460
"cty48365","Panola County, TX",34457
"cty48469","Victoria County, TX",34457
"cty17001","Adams County, IL",34454
"cty42035","Clinton County, PA",34440
"cty40085","Love County, OK",34440
"cty48299","Llano County, TX",34435
"cty55053","Jackson County, WI",34426
"cty39019","Carroll County, OH",34422
"cty25023","Plymouth County, MA",34419
"cty44009","Washington County, RI",34405
"cty41001","Baker County, OR",34397
"cty29079","Grundy County, MO",34390
"cty12067","Lafayette County, FL",34385
"cty42055","Franklin County, PA",34362
"cty20011","Bourbon County, KS",34348
"cty36039","Greene County, NY",34342
"cty17037","DeKalb County, IL",34338
"cty42079","Luzerne County, PA",34332
"cty25011","Franklin County, MA",34329
"cty48085","Collin County, TX",34321
"cty42007","Beaver County, PA",34315
"cty36119","Westchester County, NY",34313
"cty06109","Tuolumne County, CA",34309
"cty29089","Howard County, MO",34309
"cty17021","Christian County, IL",34304
"cty33011","Hillsborough County, NH",34296
"cty50015","Lamoille County, VT",34296
"cty05135","Sharp County, AR",34288
"cty20099","Labette County, KS",34286
"cty41003","Benton County, OR",34283
"cty40057","Harmon County, OK",34281
"cty26043","Dickinson County, MI",34281
"cty51043","Clarke County, VA",34274
"cty06079","San Luis Obispo County, CA",34273
"cty36031","Essex County, NY",34272
"cty42009","Bedford County, PA",34267
"cty42073","Lawrence County, PA",34260
"cty21219","Todd County, KY",34256
"cty48271","Kinney County, TX",34244
"cty48437","Swisher County, TX",34243
"cty22089","St. Charles Parish, LA",34241
"cty40049","Garvin County, OK",34238
"cty54017","Doddridge County, WV",34238
"cty18047","Franklin County, IN",34237
"cty08123","Weld County, CO",34227
"cty36053","Madison County, NY",34227
"cty06051","Mono County, CA",34226
"cty20015","Butler County, KS",34223
"cty28037","Franklin County, MS",34223
"cty18113","Noble County, IN",34221
"cty22005","Ascension Parish, LA",34208
"cty06093","Siskiyou County, CA",34202
"cty29165","Platte County, MO",34202
"cty17083","Jersey County, IL",34197
"cty17171","Scott County, IL",34195
"cty21157","Marshall County, KY",34194
"cty54061","Monongalia County, WV",34186
"cty48367","Parker County, TX",34182
"cty42029","Chester County, PA",34177
"cty20191","Sumner County, KS",34166
"cty53017","Douglas County, WA",34164
"cty30023","Deer Lodge County, MT",34155
"cty48025","Bee County, TX",34149
"cty40107","Okfuskee County, OK",34141
"cty53039","Klickitat County, WA",34141
"cty06057","Nevada County, CA",34130
"cty50013","Grand Isle County, VT",34120
"cty54001","Barbour County, WV",34100
"cty13083","Dade County, GA",34094
"cty41025","Harney County, OR",34087
"cty06049","Modoc County, CA",34080
"cty48339","Montgomery County, TX",34076
"cty09007","Middlesex County, CT",34071
"cty48061","Cameron County, TX",34066
"cty36077","Otsego County, NY",34054
"cty48361","Orange County, TX",34051
"cty48491","Williamson County, TX",34051
"cty48121","Denton County, TX",34044
"cty24027","Howard County, MD",34036
"cty20003","Anderson County, KS",34036
"cty18125","Pike County, IN",34031
"cty48069","Castro County, TX",34025
"cty53025","Grant County, WA",34022
"cty53005","Benton County, WA",34005
"cty48251","Johnson County, TX",33998
"cty19113","Linn County, IA",33991
"cty18129","Posey County, IN",33979
"cty20133","Neosho County, KS",33967
"cty35027","Lincoln County, NM",33962
"cty09005","Litchfield County, CT",33958
"cty17169","Schuyler County, IL",33957
"cty48401","Rusk County, TX",33953
"cty29067","Douglas County, MO",33938
"cty40083","Logan County, OK",33934
"cty51057","Essex County, VA",33927
"cty17141","Ogle County, IL",33925
"cty31109","Lancaster County, NE",33924
"cty34017","Hudson County, NJ",33923
"cty17039","De Witt County, IL",33922
"cty25027","Worcester County, MA",33916
"cty48411","San Saba County, TX",33910
"cty26119","Montmorency County, MI",33905
"cty48153","Floyd County, TX",33903
"cty54101","Webster County, WV",33902
"cty40027","Cleveland County, OK",33883
"cty01075","Lamar County, AL",33867
"cty19185","Wayne County, IA",33865
"cty26139","Ottawa County, MI",33855
"cty18045","Fountain County, IN",33854
"cty06097","Sonoma County, CA",33849
"cty19139","Muscatine County, IA",33836
"cty21115","Johnson County, KY",33831
"cty55031","Douglas County, WI",33824
"cty42077","Lehigh County, PA",33815
"cty02275","Wrangell City and Borough, AK",33809
"cty54085","Ritchie County, WV",33809
"cty40035","Craig County, OK",33808
"cty48177","Gonzales County, TX",33806
"cty48089","Colorado County, TX",33802
"cty26041","Delta County, MI",33791
"cty02261","Valdez-Cordova Census Area, AK",33788
"cty23031","York County, ME",33774
"cty22021","Caldwell Parish, LA",33761
"cty44005","Newport County, RI",33756
"cty55127","Walworth County, WI",33750
"cty30061","Mineral County, MT",33743
"cty41037","Lake County, OR",33739
"cty48499","Wood County, TX",33733
"cty36111","Ulster County, NY",33731
"cty48223","Hopkins County, TX",33729
"cty06113","Yolo County, CA",33722
"cty48091","Comal County, TX",33718
"cty39169","Wayne County, OH",33716
"cty41005","Clackamas County, OR",33713
"cty17159","Richland County, IL",33710
"cty54097","Upshur County, WV",33707
"cty29039","Cedar County, MO",33707
"cty18121","Parke County, IN",33699
"cty48049","Brown County, TX",33695
"cty06101","Sutter County, CA",33694
"cty08007","Archuleta County, CO",33684
"cty21077","Gallatin County, KY",33680
"cty20037","Crawford County, KS",33678
"cty29091","Howell County, MO",33668
"cty08089","Otero County, CO",33663
"cty29053","Cooper County, MO",33659
"cty18031","Decatur County, IN",33647
"cty18083","Knox County, IN",33640
"cty22097","St. Landry Parish, LA",33636
"cty54015","Clay County, WV",33635
"cty48035","Bosque County, TX",33633
"cty36051","Livingston County, NY",33633
"cty18015","Carroll County, IN",33621
"cty51097","King and Queen County, VA",33620
"cty08005","Arapahoe County, CO",33596
"cty33013","Merrimack County, NH",33595
"cty53029","Island County, WA",33591
"cty29219","Warren County, MO",33586
"cty17107","Logan County, IL",33586
"cty55137","Waushara County, WI",33569
"cty36009","Cattaraugus County, NY",33564
"cty36019","Clinton County, NY",33564
"cty05101","Newton County, AR",33562
"cty30049","Lewis and Clark County, MT",33560
"cty50007","Chittenden County, VT",33557
"cty20161","Riley County, KS",33554
"cty26153","Schoolcraft County, MI",33549
"cty06083","Santa Barbara County, CA",33547
"cty16009","Benewah County, ID",33545
"cty30047","Lake County, MT",33542
"cty29149","Oregon County, MO",33531
"cty17061","Greene County, IL",33529
"cty36057","Montgomery County, NY",33517
"cty04025","Yavapai County, AZ",33512
"cty48467","Van Zandt County, TX",33506
"cty51017","Bath County, VA",33503
"cty42095","Northampton County, PA",33501
"cty55139","Winnebago County, WI",33494
"cty36083","Rensselaer County, NY",33491
"cty48463","Uvalde County, TX",33488
"cty42089","Monroe County, PA",33485
"cty30033","Garfield County, MT",33481
"cty41065","Wasco County, OR",33478
"cty36113","Warren County, NY",33470
"cty17105","Livingston County, IL",33469
"cty26055","Grand Traverse County, MI",33467
"cty44003","Kent County, RI",33467
"cty55057","Juneau County, WI",33464
"cty36001","Albany County, NY",33461
"cty22075","Plaquemines Parish, LA",33459
"cty50025","Windham County, VT",33448
"cty05015","Carroll County, AR",33447
"cty51187","Warren County, VA",33446
"cty08083","Montezuma County, CO",33430
"cty17099","LaSalle County, IL",33414
"cty54067","Nicholas County, WV",33412
"cty22099","St. Martin Parish, LA",33399
"cty41049","Morrow County, OR",33398
"cty26003","Alger County, MI",33395
"cty26097","Mackinac County, MI",33394
"cty25005","Bristol County, MA",33391
"cty51023","Botetourt County, VA",33389
"cty53041","Lewis County, WA",33379
"cty06029","Kern County, CA",33378
"cty29203","Shannon County, MO",33374
"cty27123","Ramsey County, MN",33372
"cty48363","Palo Pinto County, TX",33351
"cty22063","Livingston Parish, LA",33351
"cty18151","Steuben County, IN",33346
"cty34015","Gloucester County, NJ",33344
"cty05087","Madison County, AR",33336
"cty21169","Metcalfe County, KY",33336
"cty19193","Woodbury County, IA",33335
"cty22009","Avoyelles Parish, LA",33332
"cty40047","Garfield County, OK",33328
"cty35023","Hidalgo County, NM",33323
"cty26103","Marquette County, MI",33321
"cty48459","Upshur County, TX",33315
"cty29185","St. Clair County, MO",33307
"cty33009","Grafton County, NH",33304
"cty39039","Defiance County, OH",33300
"cty34009","Cape May County, NJ",33295
"cty06001","Alameda County, CA",33285
"cty21225","Union County, KY",33278
"cty42087","Mifflin County, PA",33277
"cty06035","Lassen County, CA",33270
"cty18057","Hamilton County, IN",33265
"cty54033","Harrison County, WV",33259
"cty51165","Rockingham County, VA",33256
"cty51051","Dickenson County, VA",33255
"cty36115","Washington County, NY",33249
"cty41015","Curry County, OR",33210
"cty18049","Fulton County, IN",33206
"cty40063","Hughes County, OK",33203
"cty20005","Atchison County, KS",33193
"cty29047","Clay County, MO",33154
"cty29057","Dade County, MO",33152
"cty51015","Augusta County, VA",33146
"cty23003","Aroostook County, ME",33138
"cty42085","Mercer County, PA",33132
"cty54069","Ohio County, WV",33130
"cty21063","Elliott County, KY",33122
"cty24021","Frederick County, MD",33121
"cty05113","Polk County, AR",33120
"cty42081","Lycoming County, PA",33119
"cty20035","Cowley County, KS",33109
"cty40141","Tillman County, OK",33103
"cty48283","La Salle County, TX",33102
"cty18085","Kosciusko County, IN",33096
"cty48221","Hood County, TX",33089
"cty08119","Teller County, CO",33087
"cty39065","Hardin County, OH",33083
"cty36117","Wayne County, NY",33074
"cty15009","Maui County, HI",33065
"cty42011","Berks County, PA",33062
"cty53059","Skamania County, WA",33060
"cty19155","Pottawattamie County, IA",33057
"cty51085","Hanover County, VA",33053
"cty55067","Langlade County, WI",33051
"cty05133","Sevier County, AR",33045
"cty06055","Napa County, CA",33042
"cty05007","Benton County, AR",33041
"cty53011","Clark County, WA",33035
"cty48281","Lampasas County, TX",33035
"cty33007","Coos County, NH",33030
"cty18061","Harrison County, IN",33023
"cty28077","Lawrence County, MS",33014
"cty21055","Crittenden County, KY",33007
"cty21185","Oldham County, KY",33005
"cty55069","Lincoln County, WI",33004
"cty39085","Lake County, OH",32999
"cty36065","Oneida County, NY",32986
"cty16001","Ada County, ID",32981
"cty35033","Mora County, NM",32980
"cty18183","Whitley County, IN",32978
"cty39077","Huron County, OH",32963
"cty41009","Columbia County, OR",32952
"cty36043","Herkimer County, NY",32942
"cty48373","Polk County, TX",32941
"cty39041","Delaware County, OH",32938
"cty19013","Black Hawk County, IA",32926
"cty06063","Plumas County, CA",32917
"cty26011","Arenac County, MI",32912
"cty02122","Kenai Peninsula Borough, AK",32904
"cty40081","Lincoln County, OK",32895
"cty35041","Roosevelt County, NM",32887
"cty48481","Wharton County, TX",32886
"cty16069","Nez Perce County, ID",32882
"cty48407","San Jacinto County, TX",32880
"cty21007","Ballard County, KY",32878
"cty23005","Cumberland County, ME",32877
"cty48083","Coleman County, TX",32877
"cty18099","Marshall County, IN",32874
"cty17017","Cass County, IL",32873
"cty18173","Warrick County, IN",32872
"cty35005","Chaves County, NM",32857
"cty29167","Polk County, MO",32840
"cty21087","Green County, KY",32835
"cty48445","Terry County, TX",32832
"cty06013","Contra Costa County, CA",32830
"cty41057","Tillamook County, OR",32828
"cty06011","Colusa County, CA",32827
"cty48429","Stephens County, TX",32825
"cty19163","Scott County, IA",32824
"cty36109","Tompkins County, NY",32824
"cty36017","Chenango County, NY",32809
"cty36097","Schuyler County, NY",32800
"cty48379","Rains County, TX",32797
"cty02240","Southeast Fairbanks Census Area, AK",32793
"cty48355","Nueces County, TX",32792
"cty18127","Porter County, IN",32788
"cty42045","Delaware County, PA",32787
"cty29015","Benton County, MO",32780
"cty17181","Union County, IL",32775
"cty05071","Johnson County, AR",32765
"cty19153","Polk County, IA",32763
"cty51179","Stafford County, VA",32763
"cty51163","Rockbridge County, VA",32763
"cty41067","Washington County, OR",32761
"cty51153","Prince William County, VA",32756
"cty39063","Hancock County, OH",32750
"cty41045","Malheur County, OR",32749
"cty02220","Sitka City and Borough, AK",32746
"cty40127","Pushmataha County, OK",32741
"cty32001","Churchill County, NV",32740
"cty35017","Grant County, NM",32739
"cty51171","Shenandoah County, VA",32739
"cty22087","St. Bernard Parish, LA",32739
"cty48279","Lamb County, TX",32731
"cty05021","Clay County, AR",32729
"cty28073","Lamar County, MS",32728
"cty20175","Seward County, KS",32725
"cty53021","Franklin County, WA",32722
"cty41017","Deschutes County, OR",32720
"cty42099","Perry County, PA",32711
"cty26101","Manistee County, MI",32710
"cty19127","Marshall County, IA",32708
"cty33017","Strafford County, NH",32696
"cty36101","Steuben County, NY",32682
"cty48157","Fort Bend County, TX",32676
"cty51021","Bland County, VA",32674
"cty05023","Cleburne County, AR",32670
"cty24035","Queen Anne's County, MD",32662
"cty39059","Guernsey County, OH",32656
"cty55025","Dane County, WI",32653
"cty39005","Ashland County, OH",32646
"cty47159","Smith County, TN",32639
"cty17055","Franklin County, IL",32634
"cty36029","Erie County, NY",32629
"cty13113","Fayette County, GA",32623
"cty18001","Adams County, IN",32623
"cty72063","Gurabo Municipio, PR",32622
"cty18077","Jefferson County, IN",32611
"cty35007","Colfax County, NM",32605
"cty54019","Fayette County, WV",32603
"cty48243","Jeff Davis County, TX",32598
"cty36027","Dutchess County, NY",32596
"cty72035","Cayey Municipio, PR",32587
"cty19057","Des Moines County, IA",32586
"cty51161","Roanoke County, VA",32577
"cty17051","Fayette County, IL",32570
"cty29101","Johnson County, MO",32568
"cty33005","Cheshire County, NH",32565
"cty16039","Elmore County, ID",32564
"cty21143","Lyon County, KY",32560
"cty17195","Whiteside County, IL",32551
"cty33001","Belknap County, NH",32547
"cty53049","Pacific County, WA",32543
"cty29051","Cole County, MO",32543
"cty42133","York County, PA",32538
"cty46103","Pennington County, SD",32535
