"cty","Name","Household_Income_at_Age_35_rP_gF_p25"
"cty13113","Fayette County, GA",38953
"cty42129","Westmoreland County, PA",38930
"cty16047","Gooding County, ID",38927
"cty30005","Blaine County, MT",38914
"cty20109","Logan County, KS",38900
"cty31153","Sarpy County, NE",38889
"cty32029","Storey County, NV",38885
"cty18137","Ripley County, IN",38880
"cty17093","Kendall County, IL",38865
"cty40039","Custer County, OK",38861
"cty49037","San Juan County, UT",38855
"cty48109","Culberson County, TX",38849
"cty16063","Lincoln County, ID",38847
"cty39121","Noble County, OH",38843
"cty15003","Honolulu County, HI",38842
"cty42117","Tioga County, PA",38830
"cty16017","Bonner County, ID",38827
"cty06001","Alameda County, CA",38810
"cty19045","Clinton County, IA",38785
"cty36049","Lewis County, NY",38774
"cty08015","Chaffee County, CO",38774
"cty53029","Island County, WA",38762
"cty55021","Columbia County, WI",38760
"cty06049","Modoc County, CA",38742
"cty17155","Putnam County, IL",38729
"cty08059","Jefferson County, CO",38728
"cty08111","San Juan County, CO",38678
"cty34025","Monmouth County, NJ",38673
"cty36091","Saratoga County, NY",38661
"cty20113","McPherson County, KS",38652
"cty25001","Barnstable County, MA",38640
"cty26109","Menominee County, MI",38622
"cty27099","Mower County, MN",38612
"cty48193","Hamilton County, TX",38596
"cty18001","Adams County, IN",38579
"cty40067","Jefferson County, OK",38577
"cty06079","San Luis Obispo County, CA",38562
"cty09013","Tolland County, CT",38558
"cty17047","Edwards County, IL",38556
"cty54063","Monroe County, WV",38552
"cty55081","Monroe County, WI",38543
"cty56043","Washakie County, WY",38541
"cty48307","McCulloch County, TX",38534
"cty48497","Wise County, TX",38510
"cty17065","Hamilton County, IL",38510
"cty53019","Ferry County, WA",38509
"cty48495","Winkler County, TX",38501
"cty55083","Oconto County, WI",38493
"cty55039","Fond du Lac County, WI",38491
"cty26047","Emmet County, MI",38490
"cty20159","Rice County, KS",38482
"cty54093","Tucker County, WV",38474
"cty55127","Walworth County, WI",38473
"cty20133","Neosho County, KS",38457
"cty42029","Chester County, PA",38453
"cty48403","Sabine County, TX",38453
"cty48239","Jackson County, TX",38447
"cty06093","Siskiyou County, CA",38443
"cty48149","Fayette County, TX",38436
"cty06109","Tuolumne County, CA",38434
"cty16085","Valley County, ID",38400
"cty09007","Middlesex County, CT",38393
"cty08029","Delta County, CO",38381
"cty48087","Collingsworth County, TX",38337
"cty54051","Marshall County, WV",38330
"cty55115","Shawano County, WI",38324
"cty47187","Williamson County, TN",38322
"cty17129","Menard County, IL",38310
"cty40029","Coal County, OK",38297
"cty31173","Thurston County, NE",38285
"cty56013","Fremont County, WY",38278
"cty08069","Larimer County, CO",38267
"cty18147","Spencer County, IN",38261
"cty51115","Mathews County, VA",38254
"cty51021","Bland County, VA",38250
"cty19007","Appanoose County, IA",38249
"cty16011","Bingham County, ID",38246
"cty29137","Monroe County, MO",38240
"cty53061","Snohomish County, WA",38233
"cty48397","Rockwall County, TX",38218
"cty42047","Elk County, PA",38213
"cty08013","Boulder County, CO",38210
"cty48503","Young County, TX",38208
"cty16013","Blaine County, ID",38205
"cty18181","White County, IN",38193
"cty42021","Cambria County, PA",38175
"cty42097","Northumberland County, PA",38162
"cty42041","Cumberland County, PA",38156
"cty25023","Plymouth County, MA",38151
"cty16073","Owyhee County, ID",38123
"cty53049","Pacific County, WA",38120
"cty27095","Mille Lacs County, MN",38108
"cty40017","Canadian County, OK",38106
"cty17173","Shelby County, IL",38103
"cty48105","Crockett County, TX",38098
"cty54071","Pendleton County, WV",38092
"cty20041","Dickinson County, KS",38091
"cty21077","Gallatin County, KY",38088
"cty17075","Iroquois County, IL",38086
"cty48009","Archer County, TX",38070
"cty42027","Centre County, PA",38070
"cty27137","St. Louis County, MN",38047
"cty06097","Sonoma County, CA",38046
"cty40027","Cleveland County, OK",38046
"cty29183","St. Charles County, MO",38034
"cty32007","Elko County, NV",38029
"cty22059","LaSalle Parish, LA",38011
"cty33015","Rockingham County, NH",37988
"cty42107","Schuylkill County, PA",37980
"cty55027","Dodge County, WI",37973
"cty42015","Bradford County, PA",37956
"cty25015","Hampshire County, MA",37952
"cty49035","Salt Lake County, UT",37941
"cty40099","Murray County, OK",37935
"cty17157","Randolph County, IL",37928
"cty34029","Ocean County, NJ",37916
"cty48157","Fort Bend County, TX",37910
"cty30089","Sanders County, MT",37910
"cty05129","Searcy County, AR",37910
"cty34017","Hudson County, NJ",37908
"cty39051","Fulton County, OH",37895
"cty36041","Hamilton County, NY",37880
"cty41003","Benton County, OR",37874
"cty42001","Adams County, PA",37858
"cty48377","Presidio County, TX",37853
"cty21185","Oldham County, KY",37848
"cty26041","Delta County, MI",37837
"cty30053","Lincoln County, MT",37826
"cty06013","Contra Costa County, CA",37816
"cty41055","Sherman County, OR",37814
"cty06027","Inyo County, CA",37811
"cty34041","Warren County, NJ",37799
"cty48493","Wilson County, TX",37799
"cty29003","Andrew County, MO",37797
"cty39111","Monroe County, OH",37794
"cty20139","Osage County, KS",37769
"cty29005","Atchison County, MO",37744
"cty50011","Franklin County, VT",37731
"cty16009","Benewah County, ID",37728
"cty51063","Floyd County, VA",37719
"cty48261","Kenedy County, TX",37716
"cty20093","Kearny County, KS",37714
"cty05137","Stone County, AR",37708
"cty48121","Denton County, TX",37660
"cty17203","Woodford County, IL",37660
"cty23021","Piscataquis County, ME",37645
"cty29185","St. Clair County, MO",37645
"cty17011","Bureau County, IL",37644
"cty31079","Hall County, NE",37640
"cty18057","Hamilton County, IN",37632
"cty17193","White County, IL",37628
"cty18027","Daviess County, IN",37628
"cty24009","Calvert County, MD",37613
"cty08005","Arapahoe County, CO",37603
"cty55041","Forest County, WI",37600
"cty08077","Mesa County, CO",37599
"cty17073","Henry County, IL",37599
"cty48151","Fisher County, TX",37595
"cty26011","Arenac County, MI",37591
"cty55009","Brown County, WI",37585
"cty40057","Harmon County, OK",37584
"cty25009","Essex County, MA",37582
"cty48233","Hutchinson County, TX",37573
"cty50001","Addison County, VT",37570
"cty48237","Jack County, TX",37569
"cty42115","Susquehanna County, PA",37565
"cty20019","Chautauqua County, KS",37563
"cty18101","Martin County, IN",37561
"cty36039","Greene County, NY",37553
"cty05087","Madison County, AR",37551
"cty24013","Carroll County, MD",37546
"cty48097","Cooke County, TX",37542
"cty40069","Johnston County, OK",37527
"cty55069","Lincoln County, WI",37526
"cty17061","Greene County, IL",37516
"cty48197","Hardeman County, TX",37516
"cty09001","Fairfield County, CT",37494
"cty40139","Texas County, OK",37489
"cty55037","Florence County, WI",37472
"cty53051","Pend Oreille County, WA",37446
"cty20011","Bourbon County, KS",37442
"cty48133","Eastland County, TX",37426
"cty08087","Morgan County, CO",37415
"cty21159","Martin County, KY",37413
"cty29165","Platte County, MO",37410
"cty17069","Hardin County, IL",37401
"cty42103","Pike County, PA",37396
"cty24023","Garrett County, MD",37389
"cty35025","Lea County, NM",37379
"cty35015","Eddy County, NM",37377
"cty50013","Grand Isle County, VT",37375
"cty40103","Noble County, OK",37370
"cty48143","Erath County, TX",37369
"cty36077","Otsego County, NY",37355
"cty29111","Lewis County, MO",37325
"cty48499","Wood County, TX",37321
"cty55035","Eau Claire County, WI",37313
"cty16087","Washington County, ID",37310
"cty29057","Dade County, MO",37303
"cty18051","Gibson County, IN",37293
"cty18155","Switzerland County, IN",37292
"cty29211","Sullivan County, MO",37284
"cty51570","Colonial Heights city, VA",37274
"cty42069","Lackawanna County, PA",37264
"cty31157","Scotts Bluff County, NE",37245
"cty40055","Greer County, OK",37239
"cty48007","Aransas County, TX",37235
"cty48427","Starr County, TX",37226
"cty48071","Chambers County, TX",37224
"cty54097","Upshur County, WV",37205
"cty42057","Fulton County, PA",37204
"cty09005","Litchfield County, CT",37198
"cty48339","Montgomery County, TX",37197
"cty41063","Wallowa County, OR",37188
"cty55067","Langlade County, WI",37188
"cty48069","Castro County, TX",37172
"cty29043","Christian County, MO",37169
"cty48365","Panola County, TX",37157
"cty48083","Coleman County, TX",37129
"cty17159","Richland County, IL",37103
"cty39103","Medina County, OH",37075
"cty42065","Jefferson County, PA",37075
"cty25027","Worcester County, MA",37074
"cty36001","Albany County, NY",37072
"cty30049","Lewis and Clark County, MT",37069
"cty44009","Washington County, RI",37061
"cty48491","Williamson County, TX",37061
"cty30013","Cascade County, MT",37060
"cty42033","Clearfield County, PA",37052
"cty27035","Crow Wing County, MN",37047
"cty55013","Burnett County, WI",37042
"cty30105","Valley County, MT",37042
"cty48111","Dallam County, TX",37037
"cty48131","Duval County, TX",37032
"cty19187","Webster County, IA",37017
"cty53073","Whatcom County, WA",36996
"cty20161","Riley County, KS",36996
"cty19113","Linn County, IA",36995
"cty04011","Greenlee County, AZ",36988
"cty26093","Livingston County, MI",36979
"cty17083","Jersey County, IL",36979
"cty06055","Napa County, CA",36965
"cty20207","Woodson County, KS",36953
"cty48367","Parker County, TX",36952
"cty51510","Alexandria city, VA",36937
"cty29139","Montgomery County, MO",36930
"cty48317","Martin County, TX",36925
"cty48199","Hardin County, TX",36902
"cty42045","Delaware County, PA",36901
"cty29135","Moniteau County, MO",36895
"cty42109","Snyder County, PA",36881
"cty53065","Stevens County, WA",36871
"cty42079","Luzerne County, PA",36864
"cty48249","Jim Wells County, TX",36849
"cty26151","Sanilac County, MI",36849
"cty29153","Ozark County, MO",36847
"cty51153","Prince William County, VA",36836
"cty55075","Marinette County, WI",36831
"cty42009","Bedford County, PA",36824
"cty15009","Maui County, HI",36816
"cty06063","Plumas County, CA",36815
"cty40153","Woodward County, OK",36805
"cty53001","Adams County, WA",36794
"cty18063","Hendricks County, IN",36790
"cty42061","Huntingdon County, PA",36789
"cty16083","Twin Falls County, ID",36788
"cty02240","Southeast Fairbanks Census Area, AK",36786
"cty16069","Nez Perce County, ID",36779
"cty21155","Marion County, KY",36774
"cty48369","Parmer County, TX",36768
"cty55139","Winnebago County, WI",36764
"cty16055","Kootenai County, ID",36760
"cty54095","Tyler County, WV",36752
"cty31109","Lancaster County, NE",36750
"cty55053","Jackson County, WI",36731
"cty49007","Carbon County, UT",36729
"cty16031","Cassia County, ID",36728
"cty06091","Sierra County, CA",36722
"cty33011","Hillsborough County, NH",36721
"cty36027","Dutchess County, NY",36710
"cty30063","Missoula County, MT",36690
"cty42075","Lebanon County, PA",36685
"cty21171","Monroe County, KY",36681
"cty48039","Brazoria County, TX",36678
"cty27123","Ramsey County, MN",36672
"cty48435","Sutton County, TX",36671
"cty40005","Atoka County, OK",36670
"cty33009","Grafton County, NH",36668
"cty06037","Los Angeles County, CA",36665
"cty48391","Refugio County, TX",36662
"cty36089","St. Lawrence County, NY",36649
"cty18171","Warren County, IN",36643
"cty35003","Catron County, NM",36642
"cty50009","Essex County, VT",36624
"cty41027","Hood River County, OR",36617
"cty29049","Clinton County, MO",36616
"cty36051","Livingston County, NY",36616
"cty06011","Colusa County, CA",36608
"cty17105","Livingston County, IL",36606
"cty29063","DeKalb County, MO",36597
"cty21007","Ballard County, KY",36597
"cty55025","Dane County, WI",36588
"cty48175","Goliad County, TX",36569
"cty26139","Ottawa County, MI",36564
"cty34039","Union County, NJ",36558
"cty08071","Las Animas County, CO",36546
"cty06051","Mono County, CA",36532
"cty29157","Perry County, MO",36527
"cty48059","Callahan County, TX",36525
"cty48465","Val Verde County, TX",36524
"cty39019","Carroll County, OH",36520
"cty48413","Schleicher County, TX",36517
"cty27007","Beltrami County, MN",36508
"cty40051","Grady County, OK",36501
"cty54013","Calhoun County, WV",36493
"cty42105","Potter County, PA",36489
"cty16067","Minidoka County, ID",36487
"cty51085","Hanover County, VA",36463
"cty29199","Scotland County, MO",36463
"cty39013","Belmont County, OH",36455
"cty50021","Rutland County, VT",36451
"cty25005","Bristol County, MA",36448
"cty22113","Vermilion Parish, LA",36447
"cty17123","Marshall County, IL",36443
"cty39037","Darke County, OH",36442
"cty16005","Bannock County, ID",36429
"cty47027","Clay County, TN",36426
"cty26099","Macomb County, MI",36425
"cty46109","Roberts County, SD",36424
"cty41007","Clatsop County, OR",36422
"cty19127","Marshall County, IA",36420
"cty36043","Herkimer County, NY",36420
"cty27017","Carlton County, MN",36412
"cty21143","Lyon County, KY",36412
"cty05101","Newton County, AR",36403
"cty24021","Frederick County, MD",36393
"cty48323","Maverick County, TX",36391
"cty08081","Moffat County, CO",36391
"cty51157","Rappahannock County, VA",36383
"cty23031","York County, ME",36370
"cty48015","Austin County, TX",36341
"cty22085","Sabine Parish, LA",36333
"cty17139","Moultrie County, IL",36333
"cty16045","Gem County, ID",36332
"cty29089","Howard County, MO",36330
"cty53047","Okanogan County, WA",36320
"cty08049","Grand County, CO",36320
"cty37055","Dare County, NC",36304
"cty42053","Forest County, PA",36304
"cty41067","Washington County, OR",36266
"cty40087","McClain County, OK",36246
"cty41001","Baker County, OR",36243
"cty17191","Wayne County, IL",36240
"cty06067","Sacramento County, CA",36239
"cty08043","Fremont County, CO",36239
"cty20045","Douglas County, KS",36237
"cty48271","Kinney County, TX",36226
"cty18127","Porter County, IN",36217
"cty51199","York County, VA",36208
"cty12087","Monroe County, FL",36206
"cty38005","Benson County, ND",36201
"cty21027","Breckinridge County, KY",36169
"cty40119","Payne County, OK",36166
"cty28039","George County, MS",36164
"cty49045","Tooele County, UT",36159
"cty51171","Shenandoah County, VA",36154
"cty39123","Ottawa County, OH",36152
"cty34015","Gloucester County, NJ",36151
"cty27053","Hennepin County, MN",36150
"cty19013","Black Hawk County, IA",36147
"cty29179","Reynolds County, MO",36144
"cty44003","Kent County, RI",36135
"cty13135","Gwinnett County, GA",36120
"cty56021","Laramie County, WY",36118
"cty17103","Lee County, IL",36113
"cty48093","Comanche County, TX",36110
"cty42055","Franklin County, PA",36107
"cty27071","Koochiching County, MN",36097
"cty48477","Washington County, TX",36097
"cty29177","Ray County, MO",36096
"cty54109","Wyoming County, WV",36090
"cty42037","Columbia County, PA",36088
"cty06113","Yolo County, CA",36072
"cty26131","Ontonagon County, MI",36064
"cty55031","Douglas County, WI",36058
"cty54077","Preston County, WV",36051
"cty21153","Magoffin County, KY",36049
"cty51023","Botetourt County, VA",36046
"cty36101","Steuben County, NY",36041
"cty55085","Oneida County, WI",36038
"cty42083","McKean County, PA",36029
"cty41017","Deschutes County, OR",36017
"cty48159","Franklin County, TX",36015
"cty18131","Pulaski County, IN",36010
"cty06111","Ventura County, CA",36002
"cty17141","Ogle County, IL",36001
"cty42089","Monroe County, PA",35997
"cty24035","Queen Anne's County, MD",35985
"cty46103","Pennington County, SD",35972
"cty48179","Gray County, TX",35971
"cty46007","Bennett County, SD",35952
"cty48051","Burleson County, TX",35940
"cty05141","Van Buren County, AR",35940
"cty26119","Montmorency County, MI",35940
"cty54049","Marion County, WV",35939
"cty48297","Live Oak County, TX",35937
"cty41061","Union County, OR",35927
"cty06073","San Diego County, CA",35911
"cty50027","Windsor County, VT",35911
"cty41005","Clackamas County, OR",35901
"cty55137","Waushara County, WI",35899
"cty29107","Lafayette County, MO",35898
"cty48125","Dickens County, TX",35894
"cty24037","St. Mary's County, MD",35893
"cty42081","Lycoming County, PA",35881
"cty42073","Lawrence County, PA",35879
"cty53017","Douglas County, WA",35867
"cty29081","Harrison County, MO",35854
"cty56007","Carbon County, WY",35827
"cty29163","Pike County, MO",35819
"cty40049","Garvin County, OK",35816
"cty30003","Big Horn County, MT",35813
"cty39159","Union County, OH",35805
"cty06105","Trinity County, CA",35791
"cty48429","Stephens County, TX",35784
"cty53057","Skagit County, WA",35783
"cty72125","San German Municipio, PR",35779
"cty29015","Benton County, MO",35777
"cty06089","Shasta County, CA",35770
"cty08099","Prowers County, CO",35767
"cty48091","Comal County, TX",35764
"cty20191","Sumner County, KS",35750
"cty16039","Elmore County, ID",35736
"cty29051","Cole County, MO",35735
"cty53007","Chelan County, WA",35733
"cty17169","Schuyler County, IL",35728
"cty53005","Benton County, WA",35724
"cty20067","Grant County, KS",35721
"cty16001","Ada County, ID",35719
"cty17051","Fayette County, IL",35715
"cty06033","Lake County, CA",35714
"cty21229","Washington County, KY",35710
"cty42095","Northampton County, PA",35698
"cty49057","Weber County, UT",35689
"cty51043","Clarke County, VA",35689
"cty42007","Beaver County, PA",35687
"cty36099","Seneca County, NY",35681
"cty36025","Delaware County, NY",35677
"cty39175","Wyandot County, OH",35670
"cty20021","Cherokee County, KS",35662
"cty21135","Lewis County, KY",35661
"cty16019","Bonneville County, ID",35651
"cty51127","New Kent County, VA",35642
"cty48253","Jones County, TX",35632
"cty06009","Calaveras County, CA",35628
"cty20099","Labette County, KS",35626
"cty34005","Burlington County, NJ",35618
"cty27075","Lake County, MN",35617
"cty17025","Clay County, IL",35616
"cty19111","Lee County, IA",35615
"cty39067","Harrison County, OH",35613
"cty36047","Kings County, NY",35610
"cty26055","Grand Traverse County, MI",35607
"cty20015","Butler County, KS",35606
"cty36071","Orange County, NY",35604
"cty42071","Lancaster County, PA",35599
"cty55003","Ashland County, WI",35586
"cty48047","Brooks County, TX",35582
"cty29186","Ste. Genevieve County, MO",35580
"cty27021","Cass County, MN",35575
"cty20107","Linn County, KS",35574
"cty29033","Carroll County, MO",35559
"cty20077","Harper County, KS",35551
"cty42003","Allegheny County, PA",35547
"cty36123","Yates County, NY",35547
"cty29025","Caldwell County, MO",35541
"cty17033","Crawford County, IL",35537
"cty34031","Passaic County, NJ",35530
"cty31047","Dawson County, NE",35528
"cty36029","Erie County, NY",35508
"cty50015","Lamoille County, VT",35508
"cty42123","Warren County, PA",35507
"cty22011","Beauregard Parish, LA",35506
"cty48221","Hood County, TX",35504
"cty06095","Solano County, CA",35503
"cty42099","Perry County, PA",35496
"cty39083","Knox County, OH",35487
"cty29149","Oregon County, MO",35486
"cty29085","Hickory County, MO",35483
"cty04025","Yavapai County, AZ",35480
"cty21087","Green County, KY",35474
"cty29067","Douglas County, MO",35473
"cty48459","Upshur County, TX",35457
"cty16015","Boise County, ID",35456
"cty20205","Wilson County, KS",35456
"cty26089","Leelanau County, MI",35452
"cty29001","Adair County, MO",35452
"cty26103","Marquette County, MI",35436
"cty22089","St. Charles Parish, LA",35431
"cty23007","Franklin County, ME",35428
"cty29061","Daviess County, MO",35408
"cty54087","Roane County, WV",35402
"cty56027","Niobrara County, WY",35401
"cty42077","Lehigh County, PA",35395
"cty51683","Manassas city, VA",35395
"cty53067","Thurston County, WA",35391
"cty40131","Rogers County, OK",35382
"cty48341","Moore County, TX",35382
"cty48227","Howard County, TX",35378
"cty20075","Hamilton County, KS",35378
"cty53035","Kitsap County, WA",35376
"cty22039","Evangeline Parish, LA",35374
"cty29029","Camden County, MO",35372
"cty21149","McLean County, KY",35360
"cty06101","Sutter County, CA",35358
"cty08085","Montrose County, CO",35357
"cty36115","Washington County, NY",35348
"cty48411","San Saba County, TX",35346
"cty06083","Santa Barbara County, CA",35341
"cty29073","Gasconade County, MO",35340
"cty17099","LaSalle County, IL",35336
"cty23015","Lincoln County, ME",35333
"cty18047","Franklin County, IN",35331
"cty42039","Crawford County, PA",35326
"cty13219","Oconee County, GA",35314
"cty21057","Cumberland County, KY",35302
"cty40117","Pawnee County, OK",35301
"cty39085","Lake County, OH",35298
"cty54101","Webster County, WV",35297
"cty51678","Lexington city, VA",35286
"cty18173","Warrick County, IN",35285
"cty30023","Deer Lodge County, MT",35281
"cty26037","Clinton County, MI",35279
"cty53063","Spokane County, WA",35264
"cty37053","Currituck County, NC",35259
"cty48161","Freestone County, TX",35253
"cty48361","Orange County, TX",35250
"cty24017","Charles County, MD",35250
"cty17063","Grundy County, IL",35245
"cty05097","Montgomery County, AR",35238
"cty17135","Montgomery County, IL",35237
"cty53011","Clark County, WA",35230
"cty20079","Harvey County, KS",35228
"cty29113","Lincoln County, MO",35206
"cty48415","Scurry County, TX",35203
"cty18121","Parke County, IN",35203
"cty09009","New Haven County, CT",35202
"cty05145","White County, AR",35201
"cty54017","Doddridge County, WV",35197
"cty05007","Benton County, AR",35194
"cty13057","Cherokee County, GA",35194
"cty40123","Pontotoc County, OK",35192
"cty17113","McLean County, IL",35190
"cty55077","Marquette County, WI",35188
"cty51003","Albemarle County, VA",35181
"cty54031","Hardy County, WV",35180
"cty29035","Carter County, MO",35180
"cty18139","Rush County, IN",35174
"cty05109","Pike County, AR",35170
"cty21055","Crittenden County, KY",35165
"cty48467","Van Zandt County, TX",35160
"cty29083","Henry County, MO",35153
"cty05015","Carroll County, AR",35146
"cty42035","Clinton County, PA",35137
"cty05117","Prairie County, AR",35131
"cty50019","Orleans County, VT",35129
"cty17195","Whiteside County, IL",35129
"cty29047","Clay County, MO",35127
"cty19153","Polk County, IA",35116
"cty18085","Kosciusko County, IN",35111
"cty17151","Pope County, IL",35103
"cty39115","Morgan County, OH",35101
"cty39133","Portage County, OH",35099
"cty17145","Perry County, IL",35087
"cty50007","Chittenden County, VT",35085
"cty22123","West Carroll Parish, LA",35084
"cty34009","Cape May County, NJ",35084
"cty40083","Logan County, OK",35083
"cty08083","Montezuma County, CO",35077
"cty16053","Jerome County, ID",35077
"cty26001","Alcona County, MI",35070
"cty48251","Johnson County, TX",35058
"cty39125","Paulding County, OH",35058
"cty48299","Llano County, TX",35058
"cty40095","Marshall County, OK",35054
"cty48115","Dawson County, TX",35052
"cty21053","Clinton County, KY",35046
"cty48263","Kent County, TX",35045
"cty42093","Montour County, PA",35041
"cty51179","Stafford County, VA",35040
"cty53039","Klickitat County, WA",35036
"cty18011","Boone County, IN",35032
"cty36065","Oneida County, NY",35023
"cty06035","Lassen County, CA",35014
"cty42013","Blair County, PA",35009
"cty29115","Linn County, MO",35008
"cty18055","Greene County, IN",35005
"cty55113","Sawyer County, WI",35002
"cty47007","Bledsoe County, TN",35002
"cty55111","Sauk County, WI",34998
"cty40079","Le Flore County, OK",34993
"cty36111","Ulster County, NY",34983
"cty40047","Garfield County, OK",34982
"cty48077","Clay County, TX",34979
"cty01029","Cleburne County, AL",34975
"cty17037","DeKalb County, IL",34963
"cty29037","Cass County, MO",34962
"cty29065","Dent County, MO",34956
"cty20169","Saline County, KS",34938
"cty32027","Pershing County, NV",34930
"cty12035","Flagler County, FL",34928
"cty51073","Gloucester County, VA",34925
"cty26003","Alger County, MI",34904
"cty41057","Tillamook County, OR",34885
"cty21139","Livingston County, KY",34865
"cty36083","Rensselaer County, NY",34857
"cty28041","Greene County, MS",34853
"cty26043","Dickinson County, MI",34849
"cty36053","Madison County, NY",34841
"cty54025","Greenbrier County, WV",34835
"cty39147","Seneca County, OH",34828
"cty51185","Tazewell County, VA",34824
"cty48155","Foard County, TX",34821
"cty23011","Kennebec County, ME",34816
"cty39149","Shelby County, OH",34813
"cty36113","Warren County, NY",34811
"cty17187","Warren County, IL",34810
"cty36095","Schoharie County, NY",34808
"cty26087","Lapeer County, MI",34803
"cty51137","Orange County, VA",34799
"cty50005","Caledonia County, VT",34795
"cty13117","Forsyth County, GA",34791
"cty36023","Cortland County, NY",34787
"cty17055","Franklin County, IL",34777
"cty21115","Johnson County, KY",34772
"cty26157","Tuscola County, MI",34770
"cty12117","Seminole County, FL",34765
"cty41033","Josephine County, OR",34749
"cty29059","Dallas County, MO",34744
"cty17117","Macoupin County, IL",34742
"cty48321","Matagorda County, TX",34735
"cty48201","Harris County, TX",34730
"cty48123","DeWitt County, TX",34730
"cty37199","Yancey County, NC",34724
"cty25011","Franklin County, MA",34722
"cty39173","Wood County, OH",34721
"cty33003","Carroll County, NH",34717
"cty19179","Wapello County, IA",34694
"cty23005","Cumberland County, ME",34693
"cty51165","Rockingham County, VA",34688
"cty51061","Fauquier County, VA",34685
"cty18083","Knox County, IN",34684
"cty36109","Tompkins County, NY",34683
"cty18061","Harrison County, IN",34675
"cty22025","Catahoula Parish, LA",34674
"cty39069","Henry County, OH",34673
"cty36061","New York County, NY",34672
"cty40147","Washington County, OK",34667
"cty40105","Nowata County, OK",34663
"cty09003","Hartford County, CT",34661
"cty54061","Monongalia County, WV",34638
"cty20037","Crawford County, KS",34616
"cty35055","Taos County, NM",34614
"cty21225","Union County, KY",34614
"cty29141","Morgan County, MO",34610
"cty48457","Tyler County, TX",34609
"cty26045","Eaton County, MI",34605
"cty39039","Defiance County, OH",34605
"cty19155","Pottawattamie County, IA",34588
"cty21175","Morgan County, KY",34588
"cty44007","Providence County, RI",34586
"cty24041","Talbot County, MD",34584
"cty20059","Franklin County, KS",34583
"cty21233","Webster County, KY",34583
"cty29145","Newton County, MO",34581
"cty36021","Columbia County, NY",34570
"cty05047","Franklin County, AR",34570
"cty13311","White County, GA",34570
"cty55051","Iron County, WI",34564
"cty35033","Mora County, NM",34561
"cty29011","Barton County, MO",34560
"cty16079","Shoshone County, ID",34556
"cty20043","Doniphan County, KS",34556
"cty36037","Genesee County, NY",34554
"cty16075","Payette County, ID",34551
"cty18045","Fountain County, IN",34551
"cty19139","Muscatine County, IA",34549
"cty29053","Cooper County, MO",34547
"cty40137","Stephens County, OK",34544
"cty20035","Cowley County, KS",34534
"cty17057","Fulton County, IL",34533
"cty05113","Polk County, AR",34532
"cty48215","Hidalgo County, TX",34532
"cty19193","Woodbury County, IA",34531
"cty21183","Ohio County, KY",34520
"cty17021","Christian County, IL",34518
"cty18111","Newton County, IN",34517
"cty48219","Hockley County, TX",34515
"cty06099","Stanislaus County, CA",34509
"cty18015","Carroll County, IN",34493
"cty48409","San Patricio County, TX",34491
"cty54075","Pocahontas County, WV",34489
"cty48053","Burnet County, TX",34469
"cty17001","Adams County, IL",34465
"cty17147","Piatt County, IL",34463
"cty12015","Charlotte County, FL",34459
"cty12086","Miami-Dade County, FL",34457
"cty48255","Karnes County, TX",34457
"cty29101","Johnson County, MO",34455
"cty24005","Baltimore County, MD",34454
"cty17087","Johnson County, IL",34452
"cty01075","Lamar County, AL",34452
"cty17035","Cumberland County, IL",34452
"cty21179","Nelson County, KY",34450
"cty42051","Fayette County, PA",34438
"cty22057","Lafourche Parish, LA",34436
"cty36009","Cattaraugus County, NY",34419
"cty39157","Tuscarawas County, OH",34419
"cty48281","Lampasas County, TX",34413
"cty25025","Suffolk County, MA",34408
"cty36073","Orleans County, NY",34408
"cty15001","Hawaii County, HI",34408
"cty17097","Lake County, IL",34388
"cty18099","Marshall County, IN",34387
"cty48441","Taylor County, TX",34385
"cty40097","Mayes County, OK",34379
"cty29017","Bollinger County, MO",34379
"cty48473","Waller County, TX",34378
"cty06007","Butte County, CA",34377
"cty26113","Missaukee County, MI",34377
"cty51167","Russell County, VA",34373
"cty55129","Washburn County, WI",34369
"cty53027","Grays Harbor County, WA",34359
"cty48191","Hall County, TX",34352
"cty40085","Love County, OK",34352
"cty50017","Orange County, VT",34350
"cty40077","Latimer County, OK",34344
"cty17107","Logan County, IL",34342
"cty48019","Bandera County, TX",34338
"cty23003","Aroostook County, ME",34335
"cty50025","Windham County, VT",34332
"cty05045","Faulkner County, AR",34326
"cty29121","Macon County, MO",34324
"cty48025","Bee County, TX",34323
"cty40071","Kay County, OK",34320
"cty06071","San Bernardino County, CA",34315
"cty30047","Lake County, MT",34314
"cty48223","Hopkins County, TX",34313
"cty33005","Cheshire County, NH",34306
"cty22103","St. Tammany Parish, LA",34304
"cty36007","Broome County, NY",34297
"cty36069","Ontario County, NY",34291
"cty35027","Lincoln County, NM",34290
"cty48291","Liberty County, TX",34287
"cty48209","Hays County, TX",34286
"cty29209","Stone County, MO",34279
"cty17045","Edgar County, IL",34278
"cty21219","Todd County, KY",34265
"cty29013","Bates County, MO",34260
"cty33013","Merrimack County, NH",34260
"cty29071","Franklin County, MO",34253
"cty39165","Warren County, OH",34251
"cty18157","Tippecanoe County, IN",34250
"cty23013","Knox County, ME",34248
"cty08047","Gilpin County, CO",34247
"cty48399","Runnels County, TX",34236
"cty51119","Middlesex County, VA",34230
"cty06087","Santa Cruz County, CA",34228
"cty53025","Grant County, WA",34225
