"cty","Name","Household_Income_at_Age_35_rP_gF_p25"
"cty40045","Ellis County, OK",49834
"cty19023","Butler County, IA",49784
"cty48461","Upton County, TX",49761
"cty19105","Jones County, IA",49749
"cty31135","Perkins County, NE",49695
"cty38077","Richland County, ND",49681
"cty31007","Banner County, NE",49662
"cty19131","Mitchell County, IA",49660
"cty20141","Osborne County, KS",49655
"cty27157","Wabasha County, MN",49630
"cty38083","Sheridan County, ND",49594
"cty27153","Todd County, MN",49582
"cty31181","Webster County, NE",49543
"cty31161","Sheridan County, NE",49381
"cty32017","Lincoln County, NV",49371
"cty46009","Bon Homme County, SD",49369
"cty31017","Brown County, NE",49335
"cty27145","Stearns County, MN",49322
"cty19009","Audubon County, IA",49293
"cty20147","Phillips County, KS",49281
"cty20117","Marshall County, KS",49279
"cty20201","Washington County, KS",49254
"cty56035","Sublette County, WY",49231
"cty31139","Pierce County, NE",49131
"cty16041","Franklin County, ID",48976
"cty56039","Teton County, WY",48896
"cty31099","Kearney County, NE",48871
"cty55091","Pepin County, WI",48864
"cty40093","Major County, OK",48799
"cty31167","Stanton County, NE",48786
"cty19129","Mills County, IA",48707
"cty20089","Jewell County, KS",48690
"cty38053","McKenzie County, ND",48565
"cty51600","Fairfax city, VA",48528
"cty46091","Marshall County, SD",48502
"cty49001","Beaver County, UT",48444
"cty27055","Houston County, MN",48414
"cty46105","Perkins County, SD",48392
"cty19143","Osceola County, IA",48383
"cty27041","Douglas County, MN",48310
"cty31169","Thayer County, NE",48307
"cty30099","Teton County, MT",48248
"cty19005","Allamakee County, IA",48227
"cty46031","Corson County, SD",48217
"cty38067","Pembina County, ND",48189
"cty36079","Putnam County, NY",48189
"cty30007","Broadwater County, MT",48176
"cty27063","Jackson County, MN",48170
"cty19165","Shelby County, IA",48169
"cty08057","Jackson County, CO",48141
"cty27031","Cook County, MN",48124
"cty27073","Lac qui Parle County, MN",48087
"cty16033","Clark County, ID",47978
"cty08125","Yuma County, CO",47951
"cty38103","Wells County, ND",47940
"cty27159","Wadena County, MN",47928
"cty48333","Mills County, TX",47907
"cty19047","Crawford County, IA",47853
"cty27113","Pennington County, MN",47851
"cty49027","Millard County, UT",47836
"cty40043","Dewey County, OK",47830
"cty34003","Bergen County, NJ",47808
"cty30055","McCone County, MT",47803
"cty49055","Wayne County, UT",47767
"cty46003","Aurora County, SD",47761
"cty38015","Burleigh County, ND",47710
"cty30059","Meagher County, MT",47699
"cty48033","Borden County, TX",47677
"cty55043","Grant County, WI",47676
"cty27149","Stevens County, MN",47669
"cty19091","Humboldt County, IA",47642
"cty27107","Norman County, MN",47621
"cty19151","Pocahontas County, IA",47592
"cty08091","Ouray County, CO",47571
"cty19147","Palo Alto County, IA",47506
"cty31177","Washington County, NE",47499
"cty49047","Uintah County, UT",47480
"cty55065","Lafayette County, WI",47452
"cty31049","Deuel County, NE",47432
"cty55093","Pierce County, WI",47432
"cty20129","Morton County, KS",47350
"cty19065","Fayette County, IA",47317
"cty27133","Rock County, MN",47297
"cty19077","Guthrie County, IA",47264
